Id.Cliente,Familia,Categoria Productos,Potencial_H
3,Anestesia,Categoria C1,"2.223,12"
26,Anestesia,Categoria C1,"2.223,12"
30,Anestesia,Categoria C1,"2.223,12"
46,Anestesia,Categoria C1,"4.546,72"
64,Anestesia,Categoria C1,"2.223,12"
66,Anestesia,Categoria C1,"3.410,04"
69,Anestesia,Categoria C1,"2.223,12"
96,Anestesia,Categoria C1,"3.410,04"
100,Anestesia,Categoria C1,"2.223,12"
109,Anestesia,Categoria C1,"3.410,04"
118,Anestesia,Categoria C1,"3.410,04"
119,Anestesia,Categoria C1,"3.410,04"
123,Anestesia,Categoria C1,"5.683,40"
132,Anestesia,Categoria C1,"2.223,12"
142,Anestesia,Categoria C1,"3.410,04"
148,Anestesia,Categoria C1,"2.223,12"
149,Anestesia,Categoria C1,"2.223,12"
163,Anestesia,Categoria C1,"2.223,12"
171,Anestesia,Categoria C1,"3.410,04"
188,Anestesia,Categoria C1,"2.223,12"
191,Anestesia,Categoria C1,"2.223,12"
200,Anestesia,Categoria C1,"2.223,12"
231,Anestesia,Categoria C1,"3.410,04"
238,Anestesia,Categoria C1,"4.546,72"
255,Anestesia,Categoria C1,"3.410,04"
258,Anestesia,Categoria C1,"2.223,12"
290,Anestesia,Categoria C1,"3.410,04"
300,Anestesia,Categoria C1,"2.223,12"
317,Anestesia,Categoria C1,"3.410,04"
330,Anestesia,Categoria C1,"2.223,12"
346,Anestesia,Categoria C1,"2.223,12"
349,Anestesia,Categoria C1,"2.223,12"
351,Anestesia,Categoria C1,"5.683,40"
356,Anestesia,Categoria C1,"2.223,12"
367,Anestesia,Categoria C1,"3.410,04"
369,Anestesia,Categoria C1,"2.223,12"
376,Anestesia,Categoria C1,"3.410,04"
382,Anestesia,Categoria C1,"2.223,12"
383,Anestesia,Categoria C1,"3.410,04"
400,Anestesia,Categoria C1,"2.223,12"
433,Anestesia,Categoria C1,"3.410,04"
435,Anestesia,Categoria C1,"2.223,12"
462,Anestesia,Categoria C1,"2.223,12"
473,Anestesia,Categoria C1,"3.410,04"
474,Anestesia,Categoria C1,"3.410,04"
475,Anestesia,Categoria C1,"2.223,12"
477,Anestesia,Categoria C1,"2.223,12"
495,Anestesia,Categoria C1,"2.223,12"
496,Anestesia,Categoria C1,"2.223,12"
497,Anestesia,Categoria C1,"2.223,12"
519,Anestesia,Categoria C1,"2.223,12"
523,Anestesia,Categoria C1,"2.223,12"
542,Anestesia,Categoria C1,"2.223,12"
544,Anestesia,Categoria C1,"2.223,12"
551,Anestesia,Categoria C1,"2.223,12"
553,Anestesia,Categoria C1,"3.410,04"
573,Anestesia,Categoria C1,"2.223,12"
576,Anestesia,Categoria C1,"2.223,12"
583,Anestesia,Categoria C1,"3.410,04"
631,Anestesia,Categoria C1,"3.410,04"
632,Anestesia,Categoria C1,"2.223,12"
653,Anestesia,Categoria C1,"1.802,36"
654,Anestesia,Categoria C1,"2.223,12"
664,Anestesia,Categoria C1,"1.802,36"
667,Anestesia,Categoria C1,"1.802,36"
669,Anestesia,Categoria C1,"2.223,12"
670,Anestesia,Categoria C1,"1.802,36"
683,Anestesia,Categoria C1,"1.802,36"
685,Anestesia,Categoria C1,"2.223,12"
714,Anestesia,Categoria C1,"1.802,36"
716,Anestesia,Categoria C1,"2.223,12"
720,Anestesia,Categoria C1,"2.223,12"
722,Anestesia,Categoria C1,"2.223,12"
728,Anestesia,Categoria C1,"3.410,04"
732,Anestesia,Categoria C1,"2.223,12"
743,Anestesia,Categoria C1,"3.410,04"
752,Anestesia,Categoria C1,"3.410,04"
760,Anestesia,Categoria C1,"3.410,04"
761,Anestesia,Categoria C1,"3.410,04"
763,Anestesia,Categoria C1,"2.223,12"
764,Anestesia,Categoria C1,"2.223,12"
768,Anestesia,Categoria C1,"2.223,12"
